id,user,uid,version,changeset,timestamp
9381787,erkinalp,113816,8,14826246,2013-01-28T19:11:13Z
9381788,kshuseyin,300055,12,36348959,2016-01-03T22:32:52Z
9381792,kshuseyin,300055,14,36348959,2016-01-03T22:32:52Z
9381793,kshuseyin,300055,14,36348959,2016-01-03T22:32:52Z
9381794,erkinalp,113816,15,18455753,2013-10-20T17:43:38Z
9381795,Cüneyt Oral,1878914,14,19955491,2014-01-12T16:33:02Z
9381797,erkinalp,113816,7,14826246,2013-01-28T19:11:12Z
9381801,erkinalp,113816,10,18455753,2013-10-20T17:43:38Z
9381802,kshuseyin,300055,9,37939830,2016-03-19T14:44:20Z
9383057,Hasan12,3905551,8,39172720,2016-05-07T22:53:25Z
13871288,IknowJoseph,30587,10,24986510,2014-08-24T18:48:55Z
13871673,kshuseyin,300055,7,36344976,2016-01-03T18:52:55Z
13871680,ayhanozates,1628470,6,19324849,2013-12-07T15:49:51Z
13872213,de24000,617093,22,13480862,2012-10-13T16:08:55Z
16350921,aytfadc,58255,37,41410728,2016-08-12T13:21:14Z
20138994,areels,4402053,17,45132975,2017-01-13T13:15:32Z
23610537,Oreg,1926670,4,37352198,2016-02-21T18:34:48Z
23610538,Oreg,1926670,4,37352198,2016-02-21T18:34:48Z
23610539,ed kimber,567706,9,19553759,2013-12-20T17:43:21Z
23610540,IknowJoseph,30587,10,24844424,2014-08-18T21:11:58Z
23610541,Oreg,1926670,8,38430051,2016-04-09T14:39:06Z
23610542,areels,4402053,3,44678424,2016-12-26T09:46:51Z
23610544,ed kimber,567706,6,19553759,2013-12-20T17:43:19Z
23612310,jabali,358508,19,37662365,2016-03-07T10:10:56Z
23612326,ayhanozates,1628470,5,19271665,2013-12-04T13:03:10Z
23612332,ayhanozates,1628470,4,19271665,2013-12-04T13:03:10Z
23612334,jabali,358508,5,37662365,2016-03-07T10:10:51Z
23612335,c19,11127,3,135509,2008-04-13T22:04:53Z
23612336,jabali,358508,6,37662365,2016-03-07T10:10:55Z
